Song,,Constant,Level,Note Count,Difficulty,Song ID,Notes
Hashiru! Tooku! Todoku!,はしる! とおく! とどく!,25.0,25,742,Expert,498,
Pamela,パメラ,25.0,25,877,Expert,653,
Parasol Cider,パラソルサイダー,25.0,25,796,Expert,264,
My Palette is Full of You,パレットには君がいっぱい,25.0,25,900,Expert,214,
Ballerina Girl,バレリーコ,25.0,25,965,Expert,589,
Bitter Choco Decoration,ビターチョコデコレーション,25.0,25,1059,Expert,129,
A Lone Sheep,ひつじがいっぴき,25.0,25,1120,Expert,316,
Hibikase,ヒビカセ,25.0,25,898,Expert,109,
Fire Dance,ファイアダンス,25.0,25,606,Expert,576,
Filament Fever,フィラメントフィーバー,25.0,25,864,Expert,397,
Fuel,フューエル,25.0,25,698,Expert,478,
Blood Doll,ブラッドドール,25.0,25,795,Expert,656,
BURIKI NO DANCE,ブリキノダンス,25.0,25,852,Expert,38,
Pentatonic,ペンタトニック,25.0,25,733,Expert,585,
Bocca della Verità,ボッカデラベリタ,25.0,25,884,Expert,125,
MATORYOSHKA,マトリョシカ,25.0,25,887,Expert,221,
Manimani,まにまに,25.0,25,893,Expert,401,
Marionette Dancer,マリオネットダンサー,25.0,25,860,Expert,639,
Miracle Paint,ミラクルペイント,25.0,25,1300,Expert,36,
Main Character,メインキャラクター,25.0,25,951,Expert,541,
Melt,メルト,25.0,25,1363,Expert,47,
Love ka?,ラブカ？,25.0,25,710,Expert,260,
Realize,リアライズ,25.0,25,744,Expert,356,
Rin-chan Now!,リンちゃんなう！,25.0,25,1098,Expert,303,
Luka Luka★Night Fever,ルカルカ★ナイトフィーバー,25.0,25,950,Expert,216,
Rainy Snowdrop,レイニースノードロップ,25.0,25,1234,Expert,283,
Lost and Found,ロストエンファウンド,25.0,25,1082,Expert,226,
World Lampshade [reunion],ワールド・ランプシェード [reunion],25.0,25,895,Expert,534,
KLY (1000 Light Years),一千光年,25.0,25,941,Expert,439,
Mikazuki Step,三日月ステップ,25.0,25,891,Expert,580,
Retainer Supplanting His Lord,下剋上,25.0,25,1228,Expert,373,
Nisemono Ningen 40-gou,偽物人間40号,25.0,25,775,Expert,571,
We're Still Underground,僕らまだアンダーグラウンド,25.0,25,920,Expert,208,
When the First Love Ends,初めての恋が終わる時,25.0,25,822,Expert,407,
BRING IT ON,劣等上等,25.0,25,825,Expert,26,
Butterfly on Your Right Shoulder,右肩の蝶,25.0,25,1058,Expert,177,
Synthesize You,合成するミライ,25.0,25,969,Expert,512,
Yoshiwara Lament Sairaiban,吉原ラメント 再来盤,25.0,25,1135,Expert,591,
Inochi Bakkari,命ばっかり,25.0,25,1037,Expert,352,
Chikyuu Saigo no Kokuhaku wo,地球最後の告白を,25.0,25,884,Expert,154,
Into The Night,夜に駆ける,25.0,25,932,Expert,139,
Amanojaku,天ノ弱,25.0,25,982,Expert,289,
Tengaku,天樂,25.0,25,1396,Expert,372,
Shippaisaku Shoujo,失敗作少女,25.0,25,805,Expert,510,
Kisaragi Attention,如月アテンション,25.0,25,855,Expert,511,
Mousou Aspartame,妄想アスパルテーム,25.0,25,828,Expert,544,
"A Glimmer, 1/f fluctuation",幽光、1/fのゆらめき,25.0,25,718,Expert,427,
Kaisei,快晴,25.0,25,1286,Expert,323,
Kiss the Villain,悪役にキスシーンを,25.0,25,998,Expert,377,
"Love Me, Love Me, Love Me",愛して愛して愛して,25.0,25,928,Expert,181,
SEIBAIITAAAAASU!,成敗いたAAAAAす！,25.0,25,1022,Expert,472,
Cellphone Love Story,携帯恋話,25.0,25,981,Expert,61,
Stardust Utopia,星屑ユートピア,25.0,25,1183,Expert,261,
Moonlight,月光,25.0,25,1058,Expert,239,
Kimagure Mercy,気まぐれメルシィ,25.0,25,1247,Expert,281,
The Bubble Future,泡沫未来,25.0,25,750,Expert,151,
Pulse of the Meteor,流星のパルス,25.0,25,958,Expert,173,
Shinkai City Underground,深海シティアンダーグラウンド,25.0,25,872,Expert,645,
Konton Boogie,混沌ブギ,25.0,25,962,Expert,499,
God-ish,神っぽいな,25.0,25,1035,Expert,385,
At God's Mercy,神のまにまに,25.0,25,900,Expert,201,
Waraetara Ee Yan!,笑えたらえーやん！,25.0,25,878,Expert,637,
Shuuen Touhikou,終焉逃避行,25.0,25,721,Expert,547,
Singing of a flower,花を唄う,25.0,25,807,Expert,137,
Reincarnation Apple,転生林檎,25.0,25,851,Expert,533,
Toumei Elegy,透明エレジー,25.0,25,848,Expert,520,
Toumei na Palette,透明なパレット,25.0,25,852,Expert,646,
"Can't Defeat ""Take No Notice Boys""",難聴系男子が倒せない,25.0,25,1028,Expert,341,
Rain and Petra,雨とペトラ,25.0,25,976,Expert,210,
Music Like Magic!,魔法みたいなミュージック！,25.0,25,1080,Expert,317,
Can't Make A Song!!,,25.0,25,907,Expert,459,
MikuFiesta,,25.0,25,867,Expert,479,
sweety glitch,,25.0,25,894,Expert,371,
8.32,8.32,24.0,24,659,Expert,629,
"*Hello, Planet",31.5,24.0,24,931,Expert,118,
39,39,24.0,24,1139,Expert,331,
1925,1925,24.0,24,887,Expert,306,
Awake Now,Awake Now,24.0,24,723,Expert,244,
Bad Apple feat.SEKAI,Bad Apple feat.SEKAI,24.0,24,883,Expert,501,
CH4NGE,CH4NGE,24.0,24,789,Expert,513,
CRaZY,CR詠ZY,24.0,24,615,Expert,421,
Decade,Decade,24.0,24,839,Expert,319,
Flyer!,Flyer!,24.0,24,861,Expert,182,
Flyway,Flyway,24.0,24,1011,Expert,310,
Forward,Forward,24.0,24,737,Expert,55,
FREELY TOMORROW,FREELY TOMORROW,24.0,24,905,Expert,313,
from Y to Y,from Y to Y,24.0,24,847,Expert,96,
Hello Builder,Hello Builder,24.0,24,847,Expert,387,
JUMPIN’ OVER !,JUMPIN’ OVER !,24.0,24,858,Expert,422,
LEADER,LEADER,24.0,24,763,Expert,460,
Miku,Miku,24.0,24,990,Expert,153,
ODDS＆ENDS,ODDS＆ENDS,24.0,24,739,Expert,117,
p.h.,p.h.,24.0,24,739,Expert,297,
PaⅢ.SENSATION,PaⅢ.SENSATION,24.0,24,1032,Expert,195,
Polar Star,Polar Star,24.0,24,697,Expert,610,
Becoming Potatoes,potatoになっていく,24.0,24,721,Expert,52,
purpose,purpose,24.0,24,720,Expert,383,
Q,Q,24.0,24,907,Expert,202,
ray,ray,24.0,24,978,Expert,148,
Supernova,Supernova,24.0,24,750,Expert,457,
Sympathy,Sympathy,24.0,24,723,Expert,605,
Un-Lock,Un-Lock,24.0,24,894,Expert,393,
UNDERWATER,UNDERWATER,24.0,24,971,Expert,363,
WAVE,WAVE,24.0,24,794,Expert,522,
Wonder Style,Wonder Style,24.0,24,888,Expert,362,
Worlders,Worlders,24.0,24,924,Expert,579,
icedrop,アイスドロップ,24.0,24,704,Expert,140,
Newly Edgy Idols,アイドル新鋭隊,24.0,24,754,Expert,57,
A Word,アコトバ,24.0,24,664,Expert,483,
Attakaito,あったかいと,24.0,24,1026,Expert,271,
Ano Natsu ga Houwa Suru.,あの夏が飽和する。,24.0,24,626,Expert,650,
Abelia,アベリア,24.0,24,865,Expert,677,
Arinomama no Story wo,ありのままのストーリーを,24.0,24,892,Expert,635,
Anti-You,アンチユー,24.0,24,610,Expert,582,
I~ya I~ya I~ya,い〜やい〜やい〜や,24.0,24,792,Expert,670,
"1, 2, FanClub",いーあるふぁんくらぶ,24.0,24,863,Expert,174,
Integral,インテグラル,24.0,24,868,Expert,424,
Usseewa,うっせえわ,24.0,24,1035,Expert,204,
Electric Angel,えれくとりっく・えんじぇぅ,24.0,24,927,Expert,454,
Empurple,エンパープル,24.0,24,813,Expert,507,
Mischievous Function,おちゃめ機能,24.0,24,933,Expert,480,
Odorobo,おどロボ,24.0,24,1266,Expert,461,
As You Like It,お気に召すまま,24.0,24,808,Expert,106,
Airhead,ガランド,24.0,24,761,Expert,200,
Cantarella,カンタレラ,24.0,24,870,Expert,296,
Kimi to Boku no Resonance,きみとぼくのレゾナンス,24.0,24,896,Expert,523,
Cat Food,キャットフード,24.0,24,895,Expert,530,
Today is Cheerful too,きょうもハレバレ,24.0,24,793,Expert,493,
Becoming Empty,くうになる,24.0,24,769,Expert,417,
Kokoro,ココロ,24.0,24,945,Expert,312,
"This is, the Happiness and Peace of Mind Committee.",こちら、幸福安心委員会です。,24.0,24,898,Expert,279,
Summertime Record,サマータイムレコード,24.0,24,1107,Expert,395,
Cinema,シネマ,24.0,24,616,Expert,126,
Sweet Magic,スイートマジック,24.0,24,920,Expert,41,
Snowman,スノーマン,24.0,24,1001,Expert,343,
Smile*Symphony,スマイル*シンフォニー,24.0,24,594,Expert,577,
The World Hasn't Even Started Yet,セカイはまだ始まってすらいない,24.0,24,774,Expert,51,
"Even so, It's OK",それでもいいんだよ,24.0,24,897,Expert,274,
Getting Faster and Faster,だんだん早くなる,24.0,24,851,Expert,485,
Teammate,チームメイト,24.0,24,803,Expert,374,
Patchwork Staccato,ツギハギスタッカート,24.0,24,854,Expert,71,
Teratera,てらてら,24.0,24,1035,Expert,257,
It Was A Wonderful June,とても素敵な六月でした,24.0,24,1273,Expert,340,
Traffic jam,トラフィック・ジャム,24.0,24,896,Expert,143,
Tricologe,トリコロージュ,24.0,24,860,Expert,203,
Hide and Seek,ハイドアンド・シーク,24.0,24,764,Expert,438,
How-to Sekai Seifuku,ハウトゥー世界征服,24.0,24,803,Expert,672,
Hug,はぐ,24.0,24,851,Expert,429,
Hajimari no Mirai,はじまりの未来,24.0,24,972,Expert,573,
Happy Synthesizer,ハッピーシンセサイザ,24.0,24,859,Expert,10,
Paradichlorobenzene,パラジクロロベンゼン,24.0,24,916,Expert,275,
Hello Sekai,ハローセカイ,24.0,24,621,Expert,578,
Panda Hero,パンダヒーロー,24.0,24,820,Expert,566,
Viva Happy,ビバハピ,24.0,24,597,Expert,11,
phony,フォニイ,24.0,24,1064,Expert,277,
Fragile,フラジール,24.0,24,863,Expert,69,
Black★Rock Shooter,ブラック★ロックシューター,24.0,24,695,Expert,238,
Bless Your Breath,ブレス・ユア・ブレス,24.0,24,696,Expert,72,
From Tokyo,フロムトーキョー,24.0,24,640,Expert,130,
Boku no Kamisama,ぼくのかみさま,24.0,24,792,Expert,548,
Bottle Cake,ボトルケーキ,24.0,24,640,Expert,394,
Mind Brand,マインドブランド,24.0,24,1023,Expert,473,
Mikaboshi,みかぼし,24.0,24,984,Expert,518,
Mikumiku Ni Shiteageru [Shiteyanyo],みくみくにしてあげる♪【してやんよ】,24.0,24,739,Expert,124,
Mirai,ミライ,24.0,24,1017,Expert,180,
Musekinin Shuugoutai,㋰責任集合体,24.0,24,762,Expert,667,
Melancholic,メランコリック,24.0,24,917,Expert,369,
Melty Land Nightmare,メルティランドナイトメア,24.0,24,934,Expert,70,
Mozaik Role (Reloaded),モザイクロール (Reloaded),24.0,24,871,Expert,477,
Lucky☆Orb,ラッキー☆オーブ,24.0,24,802,Expert,415,
Remote Control,リモコン,24.0,24,903,Expert,146,
lily-lala,リリィララ,24.0,24,810,Expert,655,
Rumor,ルーマー,24.0,24,863,Expert,490,
ROKI,ロキ,24.0,24,827,Expert,2,
Lost Umbrella,ロストアンブレラ,24.0,24,804,Expert,551,
Romeo & Cinderella,ロミオとシンデレラ,24.0,24,856,Expert,121,
The World is Mine,ワールドイズマイン,24.0,24,1248,Expert,48,
Worldwide Wander,ワールドワイドワンダー,24.0,24,626,Expert,193,
Wah Wah World,ワーワーワールド,24.0,24,789,Expert,77,
Nh-Uh-Uh.,んっあっあっ。,24.0,24,742,Expert,430,
Otome Dissection,乙女解剖,24.0,24,834,Expert,92,
Kousenka,光線歌,24.0,24,700,Expert,634,
The Tailor of Enbizaka,円尾坂の仕立屋,24.0,24,842,Expert,347,
Murder Case at The Mansion of Antiquarian Books,古書屋敷殺人事件,24.0,24,823,Expert,436,
Nameless Revolution,名も無き革命,24.0,24,995,Expert,359,
"Ah, It's A Wonderful Cat's Life",嗚呼、素晴らしきニャン生,24.0,24,1185,Expert,346,
Natsu ni Toumei,夏に透明,24.0,24,691,Expert,565,
All Night Thinking of You,夜もすがら君想ふ,24.0,24,1004,Expert,255,
Angel's Wing.,天使の翼。,24.0,24,1072,Expert,326,
Ifuudoudou,威風堂々,24.0,24,975,Expert,95,
Shoujo A,少女A,24.0,24,1265,Expert,666,
Shoujo Rei,少女レイ,24.0,24,1168,Expert,169,
Imperial Girl,帝国少女,24.0,24,962,Expert,262,
Ghost City Tokyo,幽霊東京,24.0,24,904,Expert,102,
Kyoufuu All Back,強風オールバック,24.0,24,714,Expert,432,
Heart Forecast,心予報,24.0,24,909,Expert,188,
The Servant of Evil,悪ノ召使,24.0,24,609,Expert,191,
The Daughter of Evil,悪ノ娘,24.0,24,609,Expert,190,
Judgement of Corruption,悪徳のジャッジメント,24.0,24,777,Expert,348,
We are Stain Busters!,我らステインバスターズ！,24.0,24,797,Expert,400,
weigh anchor,抜錨,24.0,24,831,Expert,458,
Connecting the Stars,星を繋ぐ,24.0,24,753,Expert,375,
Starry sky melody,星空のメロディー,24.0,24,713,Expert,212,
Tokyo Summer Session,東京サマーセッション,24.0,24,892,Expert,621,
The Transient Apple Salesgirl,林檎売りの泡沫少女,24.0,24,1009,Expert,443,
Theatre,演劇,24.0,24,983,Expert,345,
Roshin Yuukai (meltdown),炉心融解,24.0,24,998,Expert,179,
Wintry Winds,番凩,24.0,24,716,Expert,403,
The Snow White Princess is,白い雪のプリンセスは,24.0,24,1273,Expert,355,
Gift from the Princess Who Brought Sleep,眠らせ姫からの贈り物,24.0,24,904,Expert,350,
"I am, We are",私は、私達は,24.0,24,712,Expert,287,
I'm the Rain,私は雨,24.0,24,823,Expert,492,
Musunde Hiraite Rasetsu to Mukuro,結ンデ開イテ羅刹ト骸,24.0,24,826,Expert,567,
Uninterrupted Indigo,絶え間なく藍色,24.0,24,1002,Expert,322,
Gunjo Sanka,群青讃歌,24.0,24,711,Expert,141,
Hana ni Kaze,花に風,24.0,24,755,Expert,537,
"Kaben, Sore ni Matsuwaru Onsei",花弁、それにまつわる音声,24.0,24,883,Expert,638,
Nihil-san,虚無さん,24.0,24,650,Expert,540,
Becoming pigs yeah yeah,豚になってyeah yeah,24.0,24,705,Expert,325,
Dance orchestra,踊れオーケストラ,24.0,24,845,Expert,240,
Unaware Drunkard,酔いどれ知らず,24.0,24,865,Expert,441,
Kindokei,金時計,24.0,24,747,Expert,678,
Aoku Kakero!,青く駆けろ！,24.0,24,919,Expert,93,
blue paint,青色絵具,24.0,24,846,Expert,232,
Just 1db Louder,,24.0,24,628,Expert,568,
「１」,「１」,23.0,23,619,Expert,132,
living millennium,1000年生きてる,23.0,23,673,Expert,434,
39Music!,39みゅーじっく！,23.0,23,839,Expert,45,
Afterglow,Afterglow,23.0,23,727,Expert,309,
alive,alive,23.0,23,804,Expert,82,
blender,blender,23.0,23,812,Expert,404,
Blessing,Blessing,23.0,23,859,Expert,50,
Change me,Change me,23.0,23,1019,Expert,265,
Color of Drops,Color of Drops,23.0,23,796,Expert,89,
Connecting,Connecting,23.0,23,616,Expert,619,
Copycat,Copycat,23.0,23,752,Expert,247,
Dear,Dear,23.0,23,1032,Expert,390,
ECHO,ECHO,23.0,23,659,Expert,100,
flos,flos,23.0,23,694,Expert,431,
Goodbye,Goodbye,23.0,23,734,Expert,228,
Hand in Hand,Hand in Hand,23.0,23,809,Expert,44,
Highlight,Highlight,23.0,23,596,Expert,263,
Intergalactic Bound,Intergalactic Bound,23.0,23,918,Expert,464,
Just Be Friends,Just Be Friends,23.0,23,811,Expert,27,
MOTTO!!!,MOTTO!!!,23.0,23,881,Expert,405,
Nostalogic,Nostalogic,23.0,23,719,Expert,13,
on the rocks,on the rocks,23.0,23,857,Expert,86,
On&On,On&On,23.0,23,712,Expert,426,
Shadow Shadow,Shadow Shadow,23.0,23,601,Expert,476,
Sharing the World,Sharing the World,23.0,23,937,Expert,318,
Unpoison,Unpoison,23.0,23,714,Expert,527,
Irony,アイロニ,23.0,23,861,Expert,293,
IF,イフ,23.0,23,845,Expert,211,
Eleventh,イレヴンス,23.0,23,677,Expert,539,
Interviewer,インタビュア,23.0,23,1006,Expert,330,
Tale of the Deep-sea Lily,ウミユリ海底譚,23.0,23,737,Expert,75,
Epilogue without you,エピローグに君はいない,23.0,23,596,Expert,332,
Envy Baby,エンヴィーベイビー,23.0,23,969,Expert,402,
Karakuri Pierrot,からくりピエロ,23.0,23,714,Expert,147,
Kirapipi★Kirapika,キラピピ★キラピカ,23.0,23,909,Expert,386,
CrystalSnow,クリスタルスノウ,23.0,23,694,Expert,593,
Saihate,サイハテ,23.0,23,840,Expert,556,
Charles,シャルル,23.0,23,701,Expert,19,
Strobe Last,ストロボラスト,23.0,23,725,Expert,305,
Suresure,すれすれ,23.0,23,521,Expert,442,
SEKAI,セカイ,23.0,23,735,Expert,76,
Time Machine,タイムマシン,23.0,23,719,Expert,8,
Double Lariat,ダブルラリアット,23.0,23,936,Expert,256,
Totemoitai Itagaritai,とても痛い痛がりたい,23.0,23,817,Expert,94,
dreamin chuchu,どりーみんチュチュ,23.0,23,873,Expert,123,
Torinoko City,トリノコシティ,23.0,23,753,Expert,242,
Do Re Mi Fa Rondo,ドレミファロンド ,23.0,23,690,Expert,603,
Nomad,ノマド,23.0,23,515,Expert,189,
The First Sound,ハジメテノオト,23.0,23,539,Expert,470,
Happy Cheat Day,ハッピーチートデー,23.0,23,645,Expert,463,
Fighter,ファイター,23.0,23,641,Expert,684,
Float Planner,フロート・プランナー,23.0,23,685,Expert,295,
Metamo Re:born,メタモリボン,23.0,23,580,Expert,209,
Lagtrain,ラグトレイン,23.0,23,705,Expert,469,
Lustrous,ラストラス,23.0,23,769,Expert,654,
Lonely Universe,ロンリーユニバース,23.0,23,781,Expert,269,
Kashika,仮死化,23.0,23,1019,Expert,267,
Thousand Year Solo,千年の独奏歌,23.0,23,791,Expert,223,
Waltz of the Deceased,去り人達のワルツ,23.0,23,672,Expert,192,
Natsuya no Uta,夏夜ノ唄,23.0,23,695,Expert,519,
Solar System Disco,太陽系デスコ,23.0,23,1018,Expert,360,
DSCF,妄想感傷代償連盟,23.0,23,908,Expert,194,
Yuke,征け,23.0,23,701,Expert,600,
Shinpaku Pairing,心拍ペアリング,23.0,23,575,Expert,382,
Heartbeat #0822,心拍数♯0822,23.0,23,675,Expert,155,
Love is War,恋は戦争,23.0,23,1081,Expert,365,
Because You're Here,愛されなくても君がいる,23.0,23,914,Expert,108,
Meikyoushisui,明鏡止水,23.0,23,728,Expert,481,
Starry Sky Orchestra,星空オーケストラ,23.0,23,1057,Expert,282,
Deep Sea Girl,深海少女,23.0,23,867,Expert,258,
Blazing,烈火,23.0,23,786,Expert,497,
Neppuu,熱風,23.0,23,871,Expert,489,
DUNE,砂の惑星,23.0,23,873,Expert,219,
Coral,箱庭のコラル,23.0,23,862,Expert,324,
Nouten,脳天,23.0,23,901,Expert,545,
Hollow,虚ろを扇ぐ,23.0,23,908,Expert,280,
City,街,23.0,23,668,Expert,217,
Aun no Beats,阿吽のビーツ,23.0,23,802,Expert,245,
A Moment of Sunshine,陽だまりのセツナ,23.0,23,932,Expert,314,
New Worlds,,23.0,23,973,Expert,673,
Ten Thousand Stars,,23.0,23,835,Expert,453,
Unsung Melodies,,23.0,23,615,Expert,419,
Passion at 25:00,25時の情熱,22.0,22,625,Expert,409,
glow,glow,22.0,22,875,Expert,339,
Packaged,Packaged,22.0,22,739,Expert,604,
Tell Your World,Tell Your World,22.0,22,961,Expert,1,
Love material,アイノマテリアル,22.0,22,643,Expert,144,
Achikochi Date-san,あちこちデートさん,22.0,22,693,Expert,516,
Ichi Ni no San de,いちにのさんで,22.0,22,595,Expert,292,
Kanadetomosusora,カナデトモスソラ,22.0,22,522,Expert,149,
"Soko ni Aru, Hikari.",そこに在る、光。,22.0,22,403,Expert,564,
Sono E no Namae wa,その絵の名前は,22.0,22,514,Expert,597,
Sorega Anata No Shiawase To Shitemo,それがあなたの幸せとしても,22.0,22,615,Expert,294,
Twilight Light,トワイライトライト,22.0,22,520,Expert,384,
Near,ニア,22.0,22,702,Expert,73,
Hello/How Are You?,ハロ／ハワユ,22.0,22,690,Expert,66,
Meru,メリュー,22.0,22,632,Expert,218,
once upon a dream,ワンスアポンアドリーム,22.0,22,683,Expert,105,
Reborn,再生,22.0,22,458,Expert,142,
Dawn and Fireflies,夜明けと蛍,22.0,22,691,Expert,311,
Kokoronashi,心做し,22.0,22,676,Expert,358,
Love Trial,恋愛裁判,22.0,22,889,Expert,87,
Blooming into the Mud,泥中に咲く,22.0,22,646,Expert,270,
Hitorinbo Envy,独りんぼエンヴィー,22.0,22,544,Expert,74,
Ikiru,生きる,22.0,22,536,Expert,644,
Aioi,相生,22.0,22,879,Expert,351,
Jishoumushoku,自傷無色,22.0,22,614,Expert,67,
Kazatte,飾って,22.0,22,515,Expert,572,
Where shall we go?,Where shall we go?,21.0,21,594,Expert,338,
Anata no Sora ga Naku no Nara,あなたの空が泣くのなら,21.0,21,478,Expert,659,
Made to Order,オーダーメイド,21.0,21,480,Expert,196,
Layernote,レイヤーノートー,21.0,21,563,Expert,532,
Yoka ni Mitorete,余花にみとれて,21.0,21,599,Expert,500,
Give Me Your Night,君の夜をくれ,21.0,21,482,Expert,237,
Mawaru Sora Usagi,回る空うさぎ,21.0,21,607,Expert,607,
Suisei no Kuni,彗星ノ銀河,21.0,21,688,Expert,526,
Jangsanbeom,장산범,28.7,28,853,Master,10001,
Alone,,28.5,28,1035,Master,10002,
Individual Combat,각개전투,29.8,29,1213,Master,10003,
Raining Cherry Blossom,벚꽃비,31.5,31,1168,Master,10004,
Starlight Serenade,별빛 세레나데,28.5,28,1353,Master,10005,
Secret Puppetry II,비밀 인형극 II,29.7,29,1007,Master,10006,
Carpe Diem!,,28.3,28,779,Master,10007,
Nail: in Disguise ,둔갑,29.6,29,957,Master,10008,
,,,,,,,
Pick Me Up,,28.3,28,874,Master,11001,
My Stage With You,,29.4,29,854,Master,11002,
Step Foward,踏步、出发,26.7,26,583,Master,11003,
First Storm,初岚,31.5,31,1414,Master,11004,
We Leave The World Together,,29.2,29,670,Master,11005,
Girl in the Mirror,镜中少女,27.9,27,871,Master,11006,
Dream Color Planet,梦色星球,30.2,30,1045,Master,11007,
yiyang,一样,30.3,30,789,Master,11008,
Low Chroma Notes,低彩度记事,30.6,30,907,Master,11009,
mae no hanashi,前ノハナシ (来都来了),30.9,30,1117,Master,11012,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
Pheles,フェレス,32.4,APD 31,1744,Append,291,RATING: mix of 39s and UnCh OS
Lagtrain,ラグトレイン,25.3,APD 25,1038,Append,469,
